Node,Commodity,Capacity 2020,Capacity 2025,Capacity 2030,Capacity 2035,Capacity 2040,Capacity 2045,Capacity 2050,Capacity 2055,Capacity 2060,Capacity 2065,Capacity 2070,Capacity 2075,Expansion Limit 2020,Expansion Limit 2025,Expansion Limit 2030,Expansion Limit 2035,Expansion Limit 2040,Expansion Limit 2045,Expansion Limit 2050,Expansion Limit 2055,Expansion Limit 2060,Expansion Limit 2065,Expansion Limit 2070,Expansion Limit 2075
EAE,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
RUS,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SAF,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
GLF,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CAS,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CEE,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
NOE,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
BRI,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
USA,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CAN,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
ANZ,LH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
PAC,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SWA,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SEA,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SEE,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
IND,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CHN,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
LEV,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
EAF,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
IRN,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SWE,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
JSK,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
NAF,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CEA,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
WAF,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
EAS,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
EAE,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
RUS,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SAF,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
GLF,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CAS,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CEE,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
NOE,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
BRI,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
USA,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CAN,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
ANZ,GH2,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
PAC,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SWA,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SEA,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SEE,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
IND,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CHN,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
LEV,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
EAF,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
IRN,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SWE,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
JSK,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
NAF,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CEA,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
WAF,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
EAS,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
EAE,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
RUS,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
SAF,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
GLF,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CAS,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CEE,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
NOE,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
BRI,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
USA,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CAN,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
ANZ,NH3,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
